paper_id,file_id,title,title_source,doi,doi_source,arxiv,arxiv_source,year,year_source,source,source_source,crossref_title,crossref_container,crossref_year,crossref_url,verification_status,curation_status,duplicate_of,supplement_to,notes
P0001,F0001,Cooperative interactions between nano-antennas in a high-Q cavity for unidirectional light sources,pdf_metadata:title,10.1038/s41377-019-0227-x,pdf_page_1,,,2019,pdf_text_candidate,Light: Science & Applications,crossref,Cooperative interactions between nano-antennas in a high-Q cavity for unidirectional light sources,Light: Science & Applications,2019,https://doi.org/10.1038/s41377-019-0227-x,doi_crossref_resolved_title_match,machine_extracted_needs_review,,,Only source-file facts are direct facts. DOI/Crossref metadata requires title-match review. title_match_score=1.0
P0002,F0002,Generating optical vortex beams by momentum-space polarization vortices centered at bound states in the continuum,manual_pdf_quote_verified,,,1909.12618,manual_pdf_text_or_filename,2019,manual_pdf_or_crossref_verified,arXiv preprint,manual_pdf_or_crossref_verified,Singularities and Poincaré Indices of Electromagnetic Multipoles,Physical Review Letters,2019,https://doi.org/10.1103/physrevlett.122.153907,manual_pdf_verified_core,bibliography_verified_no_numeric_data,,,Core bibliography fact promoted only after local PDF quote/id check. No device/resonance numeric facts inferred.
P0003,F0003,Nonradiating photonics with resonant dielectric nanostructures,manual_pdf_quote_verified,10.1515/nanoph-2019-0024,manual_pdf_text_or_crossref,,,2019,manual_pdf_or_crossref_verified,Nanophotonics,manual_pdf_or_crossref_verified,Nonradiating photonics with resonant dielectric nanostructures,Nanophotonics,2018,https://doi.org/10.1515/nanoph-2019-0024,manual_pdf_verified_core,bibliography_verified_no_numeric_data,,,Core bibliography fact promoted only after local PDF quote/id check. No device/resonance numeric facts inferred.
P0004,F0004,ph6b00026 1..5,pdf_metadata:title,10.1021/acsphotonics.6b00026,pdf_page_1,1097.08110,pdf_page_5,2016,pdf_text_candidate,ACS Photonics,crossref,Substrate-Independent Light Confinement in Bioinspired All-Dielectric Surface Resonators,ACS Photonics,2016,https://doi.org/10.1021/acsphotonics.6b00026,doi_crossref_resolved_title_mismatch_needs_review,machine_extracted_needs_review,,,Only source-file facts are direct facts. DOI/Crossref metadata requires title-match review. title_match_score=0.09900990099009901
P0005,F0005,Pushing the limit of high-Q mode of a single,pdf_page_1_text_candidate,10.1117/1.AP.3.1.016004,pdf_page_1,,,2020,pdf_text_candidate,Advanced Photonics,crossref,Pushing the limit of high-Q mode of a single dielectric nanocavity,Advanced Photonics,2021,https://doi.org/10.1117/1.ap.3.1.016004,doi_crossref_resolved_title_match,machine_extracted_needs_review,,,Only source-file facts are direct facts. DOI/Crossref metadata requires title-match review. title_match_score=0.8
P0006,F0006,"IEEE JOURNAL OF QUANTUM ELECTRONICS, VOL. 52, NO. 7, JULY 2016",pdf_page_1_text_candidate,10.1109/JQE.2016.2568763,pdf_page_1,2016.25687,pdf_page_1,2016,pdf_text_candidate,IEEE Journal of Quantum Electronics,crossref,Analytical Perspective of Interfering Resonances in High-Index-Contrast Periodic Photonic Structures,IEEE Journal of Quantum Electronics,2016,https://doi.org/10.1109/jqe.2016.2568763,doi_crossref_resolved_title_mismatch_needs_review,machine_extracted_needs_review,,,Only source-file facts are direct facts. DOI/Crossref metadata requires title-match review. title_match_score=0.25477707006369427
P0007,F0007,Bound states in the continuum in open Aharonov-Bohm rings,pdf_metadata:title,10.1134/S0021364006200057,pdf_page_1,,,2006,pdf_text_candidate,JETP Letters,crossref,Bound states in the continuum in open Aharonov-Bohm rings,JETP Letters,2006,https://doi.org/10.1134/s0021364006200057,doi_crossref_resolved_title_match,machine_extracted_needs_review,,,Only source-file facts are direct facts. DOI/Crossref metadata requires title-match review. title_match_score=1.0
P0008,F0008,Bound states within the radiation continuum in diffraction gratings and the role of leaky modes,manual_pdf_quote_verified,10.1088/1367-2630/aa849f,manual_pdf_text_or_crossref,,,2017,manual_pdf_or_crossref_verified,New Journal of Physics,manual_pdf_or_crossref_verified,Bound states within the radiation continuum in diffraction gratings and the role of leaky modes,New Journal of Physics,2017,https://doi.org/10.1088/1367-2630/aa849f,manual_pdf_verified_core,bibliography_verified_no_numeric_data,,,Core bibliography fact promoted only after local PDF quote/id check. No device/resonance numeric facts inferred.
P0009,F0009,Compact Surface Fano States Embedded in the Continuum of Waveguide Arrays,pdf_page_1_text_candidate,10.1103/PhysRevLett.111.240403,pdf_page_1,,,2013,pdf_text_candidate,Physical Review Letters,crossref,Compact Surface Fano States Embedded in the Continuum of Waveguide Arrays,Physical Review Letters,2013,https://doi.org/10.1103/physrevlett.111.240403,doi_crossref_resolved_title_match,machine_extracted_needs_review,,,Only source-file facts are direct facts. DOI/Crossref metadata requires title-match review. title_match_score=1.0
P0010,F0010,Dielectric microcavities: Model systems for wave chaos,pdf_page_1_text_candidate,10.1103/RevModPhys.87.61,pdf_page_1,,,2015,pdf_text_candidate,Reviews of Modern Physics,crossref,Dielectric microcavities: Model systems for wave chaos and non-Hermitian physics,Reviews of Modern Physics,2015,https://doi.org/10.1103/revmodphys.87.61,doi_crossref_resolved_title_match,machine_extracted_needs_review,,,Only source-file facts are direct facts. DOI/Crossref metadata requires title-match review. title_match_score=0.803030303030303
P0011,F0011,Embedded Photonic Eigenvalues in 3D Nanostructures,manual_pdf_quote_verified,10.1103/PhysRevLett.112.213903,manual_pdf_text_or_crossref,,,2014,manual_pdf_or_crossref_verified,Physical Review Letters,manual_pdf_or_crossref_verified,Embedded Photonic Eigenvalues in 3D Nanostructures,Physical Review Letters,2014,https://doi.org/10.1103/physrevlett.112.213903,manual_pdf_verified_core,bibliography_verified_no_numeric_data,,,Core bibliography fact promoted only after local PDF quote/id check. No device/resonance numeric facts inferred.
