observation_id,paper_id,external_id,file_id,observation_group,observation_type,quantity_name,value_text,value_numeric,unit,material,structure_name,wavelength_nm,frequency_thz,q_factor,fano_q,source_kind,source_url,page,figure,panel,table_no,evidence_id,extraction_method,verification_status,curation_status,confidence,notes
OBS-P0001-q_factor-1-ae9dcf73671357bb,P0001,,F0001,resonance,q_factor,Q factor,"3,",3.0,,,,,,3.0,,local_pdf_text,,1,,,,E-OBS-P0001-q_factor-1-ae9dcf73671357bb,regex:q_factor,candidate_needs_review,review_queue,0.62,Candidate physical observation from PDF text; not yet human verified.
OBS-P0001-q_factor-1-f8d8f20c41a07eb3,P0001,,F0001,resonance,q_factor,Q factor,20,20.0,,,,,,20.0,,local_pdf_text,,1,,,,E-OBS-P0001-q_factor-1-f8d8f20c41a07eb3,regex:q_factor,candidate_needs_review,review_queue,0.62,Candidate physical observation from PDF text; not yet human verified.
OBS-P0001-q_factor-1-f8c6041b72d33247,P0001,,F0001,resonance,q_factor,Q factor,104,104.0,,,,,,104.0,,local_pdf_text,,1,,,,E-OBS-P0001-q_factor-1-f8c6041b72d33247,regex:q_factor,candidate_needs_review,review_queue,0.62,Candidate physical observation from PDF text; not yet human verified.
OBS-P0001-material-1-d42a7281ba70ee11,P0001,,F0001,material,material,material,dielectric,,,,,,,,,local_pdf_text,,1,,,,E-OBS-P0001-material-1-d42a7281ba70ee11,regex:material,candidate_needs_review,review_queue,0.42,Candidate physical observation from PDF text; not yet human verified.
OBS-P0001-material-1-1cab5f8716ce8b17,P0001,,F0001,material,material,material,silicon,,,,,,,,,local_pdf_text,,1,,,,E-OBS-P0001-material-1-1cab5f8716ce8b17,regex:material,candidate_needs_review,review_queue,0.42,Candidate physical observation from PDF text; not yet human verified.
OBS-P0001-material-1-8ee97462fd06c76e,P0001,,F0001,material,material,material,dielectric,,,,,,,,,local_pdf_text,,1,,,,E-OBS-P0001-material-1-8ee97462fd06c76e,regex:material,candidate_needs_review,review_queue,0.42,Candidate physical observation from PDF text; not yet human verified.
OBS-P0001-polarization-1-e2788f8d573b2573,P0001,,F0001,polarization,polarization,polarization/topology,chiral,,,,,,,,,local_pdf_text,,1,,,,E-OBS-P0001-polarization-1-e2788f8d573b2573,regex:polarization,candidate_needs_review,review_queue,0.46,Candidate physical observation from PDF text; not yet human verified.
OBS-P0001-material-2-4aab24e85626be4c,P0001,,F0001,material,material,material,dielectric,,,,,,,,,local_pdf_text,,2,,,,E-OBS-P0001-material-2-4aab24e85626be4c,regex:material,candidate_needs_review,review_queue,0.42,Candidate physical observation from PDF text; not yet human verified.
OBS-P0001-material-2-577608cfe7c2318b,P0001,,F0001,material,material,material,silicon,,,,,,,,,local_pdf_text,,2,,,,E-OBS-P0001-material-2-577608cfe7c2318b,regex:material,candidate_needs_review,review_queue,0.42,Candidate physical observation from PDF text; not yet human verified.
OBS-P0001-material-2-22fd76ace0a4997c,P0001,,F0001,material,material,material,silicon,,,,,,,,,local_pdf_text,,2,,,,E-OBS-P0001-material-2-22fd76ace0a4997c,regex:material,candidate_needs_review,review_queue,0.42,Candidate physical observation from PDF text; not yet human verified.
