evidence_id,paper_id,file_id,source_kind,source_url,page_start,page_end,figure,panel,table_no,equation_no,quote_sha256,extraction_method,evidence_level,confidence,verification_status,created_at,notes
E0001-TEXT,P0001,F0001,pdf_text_cache,,1,1,,,,,0fe5f6b3f800d1e78c893d5bc94fad24ee0c6e44360409e628055115dc7db774,pymupdf_first_pages,E0,0.6,source_extracted_needs_review,2026-05-16T10:43:36+00:00,Automatic text cache for search and later human review.
E0001-DOI,P0001,F0001,pdf_text_identifier,,1,1,,,,,af6457ecb9229ee12e66f0e8757429f581bd9fd3dfc3d57599e1242f24f64f57,regex_doi_from_pdf_text,E1,0.8,identifier_extracted_needs_review,2026-05-16T10:43:36+00:00,Identifier string found in local PDF text; Crossref resolution stored separately when available.
E0001-TITLE,P0001,F0001,pdf_metadata_or_page_text,,,,,,,,5ef780bf2dafa4c9bc41a7d50546610f0cffee7d986c65c3ef80d4f2a91f483f,pdf_metadata:title,E1,0.7,title_candidate_needs_review,2026-05-16T10:43:36+00:00,Title candidate; verify against title page or Crossref before using in final bibliography.
E0001-YEAR,P0001,F0001,pdf_metadata_or_page_text,,1,1,,,,,8661e64acb9a39fb0d309205a0224fc012832713b806da039cb1ab68300d68de,pdf_text_candidate,E0,0.45,year_candidate_needs_review,2026-05-16T10:43:36+00:00,Year candidate from metadata/text; prefer Crossref year when DOI resolves.
E0002-TEXT,P0002,F0002,pdf_text_cache,,1,1,,,,,3e7aa0376e55efea511d097616c4389ffbcb4a73b7a39e82fb61c3dceef29713,pymupdf_first_pages,E0,0.6,source_extracted_needs_review,2026-05-16T10:43:37+00:00,Automatic text cache for search and later human review.
E0002-DOI,P0002,F0002,pdf_text_identifier,,5,5,,,,,9fc94ddc82e44ca1edd16bd7d4c69ab64923daa6b8ab4ebf9247e79d02d093cb,regex_doi_from_pdf_text,E1,0.8,identifier_extracted_needs_review,2026-05-16T10:43:37+00:00,Identifier string found in local PDF text; Crossref resolution stored separately when available.
E0002-ARXIV,P0002,F0002,pdf_text_identifier,,1,1,,,,,0c6291eed04542f9374c2e866350ee549197e90d7e93c4fd249070df50cacabb,regex_arxiv_from_pdf_text,E1,0.75,identifier_extracted_needs_review,2026-05-16T10:43:37+00:00,arXiv identifier string found in local PDF text.
E0002-TITLE,P0002,F0002,pdf_metadata_or_page_text,,1,1,,,,,5736366b32557d0b13b59c2667faba09b857b68a40d4b88f93ca7af7d89a185b,pdf_page_1_text_candidate,E0,0.55,title_candidate_needs_review,2026-05-16T10:43:37+00:00,Title candidate; verify against title page or Crossref before using in final bibliography.
E0002-YEAR,P0002,F0002,pdf_metadata_or_page_text,,5,5,,,,,ef2904687331a06b4fdcb8ec87477b8208ce60e9f62f0febcaa22c492121a3ef,pdf_text_candidate,E0,0.45,year_candidate_needs_review,2026-05-16T10:43:37+00:00,Year candidate from metadata/text; prefer Crossref year when DOI resolves.
E0003-TEXT,P0003,F0003,pdf_text_cache,,1,1,,,,,75ccc26697ffcabddca57dff0788eea2ad4af1e82fc05507a1a921831a67185d,pymupdf_first_pages,E0,0.6,source_extracted_needs_review,2026-05-16T10:43:38+00:00,Automatic text cache for search and later human review.
E0003-DOI,P0003,F0003,pdf_text_identifier,,1,1,,,,,c31bdf97e1185d7d49f2273351d9726525eb4fb04c8af8b031c668b76ffb21e9,regex_doi_from_pdf_text,E1,0.8,identifier_extracted_needs_review,2026-05-16T10:43:38+00:00,Identifier string found in local PDF text; Crossref resolution stored separately when available.
E0003-TITLE,P0003,F0003,pdf_metadata_or_page_text,,1,1,,,,,3e1b045e061b6d25c2025c9cd43f50ec8ad8dbfd5a7b4d327868c8189cb070a4,pdf_page_1_text_candidate,E0,0.55,title_candidate_needs_review,2026-05-16T10:43:38+00:00,Title candidate; verify against title page or Crossref before using in final bibliography.
