external_id,title,year,source,doi,arxiv,url,source_kind,verification_status,checked_at,relevance_scope,overlap_risk,notes
EXT-2022-LPR-RIDL,Strategical Deep Learning for Photonic Bound States in the Continuum,2022,Laser & Photonics Reviews,10.1002/lpor.202100658,2105.03001,https://doi.org/10.1002/lpor.202100658,doi/publisher_record,source_link_recorded_needs_periodic_recheck,2026-05-16 10:44:24,BIC/qBIC spectra and inverse design with resonance-informed deep learning,very_high,Blocks broad claims of first physics-informed or resonance-informed deep learning for photonic BIC spectra/inverse design.
EXT-2023-OL-RF-BIC,Infrared bound states in the continuum: random forest method,2023,Optics Letters,10.1364/OL.494629,,https://opg.optica.org/ol/abstract.cfm?URI=ol-48-17-4460,publisher_record,source_link_recorded_needs_periodic_recheck,2026-05-16 10:44:24,Random forest predicts BIC frequency from all-dielectric grating parameters.,high,Blocks broad claims of first ML prediction of BIC frequency/subband.
EXT-2023-NANOPH-ACCIDENTAL-BIC,Inverse design of all-dielectric metasurfaces with accidental bound states in the continuum,2023,Nanophotonics,10.1515/nanoph-2023-0373,2305.10020,https://doi.org/10.1515/nanoph-2023-0373,doi/publisher_record,source_link_recorded_needs_periodic_recheck,2026-05-16 10:44:24,Physics-inspired inverse design of accidental BIC metasurfaces.,high,Blocks broad claims of first all-dielectric BIC inverse design.
EXT-2024-ADVS-METAFORMER,Meta-Attention Deep Learning for Smart Development of Metasurface Sensors,2024,Advanced Science,10.1002/advs.202405750,,https://doi.org/10.1002/advs.202405750,doi/publisher_record,source_link_recorded_needs_periodic_recheck,2026-05-16 10:44:24,Explainable attention model for high-Q spectral metasurface sensors.,high,Blocks broad claims of first explainable/attention deep learning for high-Q metasurface spectra.
EXT-2025-SREP-FANO-RF,Machine learning method for predicting line-shapes of Fano resonances induced by bound states in the continuum,2025,Scientific Reports,10.1038/s41598-025-16192-1,2504.08409,https://www.nature.com/articles/s41598-025-16192-1,publisher_record,source_link_recorded_needs_periodic_recheck,2026-05-16 10:44:24,Random forest predicts BIC-induced Fano line-shape parameters from FEM-generated data.,very_high,Blocks broad claims of first ML prediction of BIC-induced Fano line shape or Fano parameters.
EXT-2025-OPTCOM-DUAL-FANO-DL,Inverse design of polarization-insensitive all-dielectric BIC metasurface with dual Fano-resonances by deep learning,2025,Optics Communications,10.1016/j.optcom.2025.131964,,https://doi.org/10.1016/j.optcom.2025.131964,doi/publisher_record,source_link_recorded_needs_periodic_recheck,2026-05-16 10:44:24,Deep-learning inverse design for all-dielectric BIC metasurface with dual Fano resonances.,high,Blocks broad claims of first deep-learning inverse design for complete qBIC/Fano spectra.
EXT-2026-PHOTONIX-FOURIER-SURFACES,Reality-infused deep learning for angle-resolved quasi-optical Fourier surfaces,2026,PhotoniX,10.1186/s43074-026-00238-2,,https://link.springer.com/article/10.1186/s43074-026-00238-2,publisher_record,source_link_recorded_needs_periodic_recheck,2026-05-16 10:44:24,Experiment-driven transformer learning for angle-resolved spectra of quasi-optical Fourier surfaces.,high_adjacent,"Strong adjacent risk for Fourier/k-space, angle-resolved metasurface spectra, and deep learning claims."
EXT-2026-PRJ-SPECVIT,Transformer-Enabled Intelligent Design of High-Q Quasi-BIC Metasurface for Molecular Vibrational Fingerprinting,2026,Photonics Research,10.1364/PRJ.578302,,https://doi.org/10.1364/PRJ.578302,doi/publisher_record,source_link_recorded_needs_periodic_recheck,2026-05-16 10:44:24,Transformer spectral prediction and inverse design for high-Q quasi-BIC metasurfaces.,very_high,Blocks broad claims of first transformer/ViT high-Q qBIC metasurface spectral prediction or inverse design.
EXT-WEB-WEB-NC-2023-ULTRAHIGH-Q-GMR,Ultrahigh-Q guided mode resonances in an all-dielectric metasurface,2023,Nature Communications,10.1038/s41467-023-39227-5,,https://www.nature.com/articles/s41467-023-39227-5,publisher_article_html,source_link_recorded_with_physical_observations,2026-05-16 10:46:03,Physical qBIC/BIC result source with quoted observation rows.,result_database_source,Web source added beyond local 50 PDFs.
EXT-WEB-WEB-NC-2024-MILLION-Q,Million-Q free space meta-optical resonator at near-visible wavelengths,2024,Nature Communications,10.1038/s41467-024-54775-0,,https://www.nature.com/articles/s41467-024-54775-0,publisher_article_html,source_link_recorded_with_physical_observations,2026-05-16 10:46:03,Physical qBIC/BIC result source with quoted observation rows.,result_database_source,Web source added beyond local 50 PDFs.
EXT-WEB-WEB-NC-2024-AIR-MEMBRANE,Trapping light in air with membrane metasurfaces for vibrational strong coupling,2024,Nature Communications,10.1038/s41467-024-54284-0,,https://www.nature.com/articles/s41467-024-54284-0,publisher_article_html,source_link_recorded_with_physical_observations,2026-05-16 10:46:03,Physical qBIC/BIC result source with quoted observation rows.,result_database_source,Web source added beyond local 50 PDFs.
EXT-WEB-WEB-NC-2025-PLDOS-BIC,Near-field probing of the local density of optical states enhanced by bound states in the continuum in nonlocal metasurfaces,2025,Nature Communications,10.1038/s41467-025-66653-4,,https://www.nature.com/articles/s41467-025-66653-4,publisher_article_html,source_link_recorded_with_physical_observations,2026-05-16 10:46:03,Physical qBIC/BIC result source with quoted observation rows.,result_database_source,Web source added beyond local 50 PDFs.
