candidate_id,paper_id,candidate_field,candidate_value,evidence_id,method,verification_status,confidence,notes
C0001-01,P0001,suggested_bic_type,BIC laser / quasi-BIC laser,E0001-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0002-01,P0002,suggested_bic_type,topological / polarization-vortex BIC,E0002-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0002-02,P0002,suggested_platform,photonic crystal slab,E0002-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0002-03,P0002,suggested_platform,metasurface,E0002-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0002-04,P0002,suggested_platform,dielectric grating,E0002-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0002-05,P0002,suggested_mechanism,topological charge / momentum-space vortex,E0002-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0003-01,P0003,suggested_bic_type,quasi-BIC / Fano resonance,E0003-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.5,Not a verified fact. Promote only after page/figure/text review.
C0003-02,P0003,suggested_bic_type,BIC laser / quasi-BIC laser,E0003-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0003-03,P0003,suggested_platform,metasurface,E0003-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0004-01,P0004,suggested_bic_type,quasi-BIC / Fano resonance,E0004-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.5,Not a verified fact. Promote only after page/figure/text review.
C0004-02,P0004,suggested_bic_type,BIC laser / quasi-BIC laser,E0004-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0004-03,P0004,suggested_platform,photonic crystal slab,E0004-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0004-04,P0004,suggested_platform,dielectric grating,E0004-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0005-01,P0005,suggested_bic_type,BIC laser / quasi-BIC laser,E0005-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0005-02,P0005,suggested_platform,metasurface,E0005-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0005-03,P0005,suggested_mechanism,Friedrich-Wintgen/interfering resonances,E0005-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.5,Not a verified fact. Promote only after page/figure/text review.
C0006-01,P0006,suggested_bic_type,topological / polarization-vortex BIC,E0006-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0006-02,P0006,suggested_bic_type,BIC laser / quasi-BIC laser,E0006-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0006-03,P0006,suggested_mechanism,Friedrich-Wintgen/interfering resonances,E0006-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.5,Not a verified fact. Promote only after page/figure/text review.
C0007-01,P0007,suggested_mechanism,Friedrich-Wintgen/interfering resonances,E0007-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.5,Not a verified fact. Promote only after page/figure/text review.
C0008-01,P0008,suggested_bic_type,quasi-BIC / Fano resonance,E0008-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.5,Not a verified fact. Promote only after page/figure/text review.
C0008-02,P0008,suggested_platform,photonic crystal slab,E0008-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0008-03,P0008,suggested_platform,dielectric grating,E0008-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0009-01,P0009,suggested_bic_type,quasi-BIC / Fano resonance,E0009-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.5,Not a verified fact. Promote only after page/figure/text review.
C0009-02,P0009,suggested_platform,waveguide array,E0009-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0009-03,P0009,suggested_mechanism,Friedrich-Wintgen/interfering resonances,E0009-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.5,Not a verified fact. Promote only after page/figure/text review.
C0010-01,P0010,suggested_bic_type,BIC laser / quasi-BIC laser,E0010-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0010-02,P0010,suggested_platform,dielectric grating,E0010-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0011-01,P0011,suggested_bic_type,quasi-BIC / Fano resonance,E0011-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.5,Not a verified fact. Promote only after page/figure/text review.
C0011-02,P0011,suggested_platform,photonic crystal slab,E0011-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0012-01,P0012,suggested_platform,dielectric grating,E0012-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0013-01,P0013,suggested_platform,dielectric grating,E0013-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0013-02,P0013,suggested_platform,waveguide array,E0013-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0013-03,P0013,suggested_mechanism,Friedrich-Wintgen/interfering resonances,E0013-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.5,Not a verified fact. Promote only after page/figure/text review.
C0014-01,P0014,suggested_bic_type,quasi-BIC / Fano resonance,E0014-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.5,Not a verified fact. Promote only after page/figure/text review.
C0014-02,P0014,suggested_platform,photonic crystal slab,E0014-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0014-03,P0014,suggested_platform,dielectric grating,E0014-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0015-01,P0015,suggested_bic_type,topological / polarization-vortex BIC,E0015-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0015-02,P0015,suggested_bic_type,BIC laser / quasi-BIC laser,E0015-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0017-01,P0017,suggested_bic_type,quasi-BIC / Fano resonance,E0017-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.5,Not a verified fact. Promote only after page/figure/text review.
C0018-01,P0018,suggested_bic_type,symmetry-protected BIC,E0018-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0018-02,P0018,suggested_bic_type,quasi-BIC / Fano resonance,E0018-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.5,Not a verified fact. Promote only after page/figure/text review.
C0018-03,P0018,suggested_platform,photonic crystal slab,E0018-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0019-01,P0019,suggested_bic_type,topological / polarization-vortex BIC,E0019-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0019-02,P0019,suggested_bic_type,BIC laser / quasi-BIC laser,E0019-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0019-03,P0019,suggested_platform,metasurface,E0019-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0019-04,P0019,suggested_mechanism,topological charge / momentum-space vortex,E0019-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0020-01,P0020,suggested_mechanism,Friedrich-Wintgen/interfering resonances,E0020-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.5,Not a verified fact. Promote only after page/figure/text review.
C0021-01,P0021,suggested_bic_type,quasi-BIC / Fano resonance,E0021-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.5,Not a verified fact. Promote only after page/figure/text review.
C0021-02,P0021,suggested_platform,photonic crystal slab,E0021-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0022-01,P0022,suggested_bic_type,topological / polarization-vortex BIC,E0022-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0022-02,P0022,suggested_bic_type,symmetry-protected BIC,E0022-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0022-03,P0022,suggested_bic_type,BIC laser / quasi-BIC laser,E0022-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0022-04,P0022,suggested_mechanism,Friedrich-Wintgen/interfering resonances,E0022-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.5,Not a verified fact. Promote only after page/figure/text review.
C0022-05,P0022,suggested_mechanism,topological charge / momentum-space vortex,E0022-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0023-01,P0023,suggested_bic_type,topological / polarization-vortex BIC,E0023-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0023-02,P0023,suggested_bic_type,symmetry-protected BIC,E0023-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0023-03,P0023,suggested_bic_type,BIC laser / quasi-BIC laser,E0023-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0023-04,P0023,suggested_mechanism,Friedrich-Wintgen/interfering resonances,E0023-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.5,Not a verified fact. Promote only after page/figure/text review.
C0023-05,P0023,suggested_mechanism,topological charge / momentum-space vortex,E0023-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0024-01,P0024,suggested_bic_type,symmetry-protected BIC,E0024-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0024-02,P0024,suggested_bic_type,quasi-BIC / Fano resonance,E0024-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.5,Not a verified fact. Promote only after page/figure/text review.
C0024-03,P0024,suggested_bic_type,BIC laser / quasi-BIC laser,E0024-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0024-04,P0024,suggested_platform,metasurface,E0024-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0025-01,P0025,suggested_bic_type,symmetry-protected BIC,E0025-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0025-02,P0025,suggested_bic_type,quasi-BIC / Fano resonance,E0025-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.5,Not a verified fact. Promote only after page/figure/text review.
C0026-01,P0026,suggested_bic_type,quasi-BIC / Fano resonance,E0026-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.5,Not a verified fact. Promote only after page/figure/text review.
C0026-02,P0026,suggested_bic_type,BIC laser / quasi-BIC laser,E0026-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0026-03,P0026,suggested_platform,photonic crystal slab,E0026-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0027-01,P0027,suggested_bic_type,topological / polarization-vortex BIC,E0027-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0027-02,P0027,suggested_bic_type,BIC laser / quasi-BIC laser,E0027-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0027-03,P0027,suggested_mechanism,Friedrich-Wintgen/interfering resonances,E0027-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.5,Not a verified fact. Promote only after page/figure/text review.
C0028-01,P0028,suggested_platform,photonic crystal slab,E0028-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0028-02,P0028,suggested_mechanism,Friedrich-Wintgen/interfering resonances,E0028-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.5,Not a verified fact. Promote only after page/figure/text review.
